content,published_at,likes,replies,mentioned_topics,additional_themes,attitude_towards_israel,attitude_towards_us,attitude_towards_qatar,attitude_towards_hamas,attitude_confidence,attitude_indicators,intelligence_score,intelligence_markers,insightfulness_score,insight_type,emotional_score
"at this point, Israel acts more like a crime syndicate than a country. Just straight up using mafia/cartel tactics",2025-09-14 19:53:28.409000+00:00,34,14,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['state criminality', 'extrajudicial assassinations', 'mafia/cartel analogy']",1.0,,,,0.92,"['acts more like a crime syndicate than a country', 'using mafia/cartel tactics']",2,['proper_grammar'],2,basic_opinion,4
Qatar 20 years of toppling regimes and financing worldwide terror are ending.,2025-09-14 19:53:28.409000+00:00,24,4,[<VideoTopic.QATAR: 'Qatar'>],"['terror financing', 'regime change', 'prediction of Qatar’s decline']",,,1.0,,0.9,"['toppling regimes', 'financing worldwide terror', 'are ending']",2,[],1,predictive_analysis,4
Qatar shouldn’t have supported Hamas,2025-09-14 19:53:28.409000+00:00,27,4,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['state support for militant groups', 'accountability']",,,3.0,3.0,0.85,"['Qatar shouldn’t have supported Hamas', '“shouldn’t have supported” indicates a moral critique of Qatar’s policy and a negative view of Hamas']",2,['proper_grammar'],2,basic_opinion,2
"people saying qatar ""played both sides"" is like saying switzerland deserves getting attacked every time it hosts international negotiation talks between two countries",2025-09-14 19:53:30.712000+00:00,444,46,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>]","['mediator neutrality', 'analogy to Switzerland', 'norms against attacking hosts/mediators']",3.0,,7.0,,0.65,"[""people saying qatar 'played both sides'"", 'is like saying switzerland deserves getting attacked', 'hosts international negotiation talks']",3,"['logical_structure', 'nuanced_thinking']",3,counter_argument,2
"Qatar is the banker of Hamas and most other terrorist groups in the Middle East.  Especially hosting the Hamas leadership was already intolerable for a long time, so they had this coming and it is long overdue.
I do agree that the role of the US (worldwide really) is eroding fast - no way of knowing they are an ally or a foe.",2025-09-14 19:53:30.712000+00:00,14,7,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.UNITED_STATES: 'United States'>, <VideoTopic.US_INVOLVEMENT: 'US involvement'>, <VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['state sponsorship of terrorism', 'justification of cross-border retaliation', 'decline of US credibility']",7.0,3.0,1.0,1.0,0.78,"['Qatar is the banker of Hamas and most other terrorist groups in the Middle East.', 'Especially hosting the Hamas leadership was already intolerable', 'they had this coming and it is long overdue', 'the role of the US ... is eroding fast', 'no way of knowing they are an ally or a foe']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,4
"Qatar 🇶🇦 is NOT A MESSENGER 
Qatar 🇶🇦 is Hamas behind the scenes while playing negotiator in public.",2025-09-14 19:53:30.712000+00:00,31,8,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.CEASEFIRE_NEGOTIATIONS: 'Ceasefire negotiations'>]","['state sponsorship of Hamas', 'diplomatic duplicity']",,,1.0,3.0,0.9,"['Qatar is NOT A MESSENGER', 'Qatar is Hamas behind the scenes', 'playing negotiator in public']",2,['proper_grammar'],2,counter_argument,4
Qatar has only pretended to an arbitrator (Neutral) but anyone who's been paying attention for the past 20 plus years knows that Qatar is anything but.,2025-09-14 19:53:30.712000+00:00,206,24,"[<VideoTopic.QATAR: 'Qatar'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>]","['mediator bias', 'Qatar foreign policy']",,,3.0,,0.86,"['Qatar has only pretended to an arbitrator (Neutral)', ""anyone who's been paying attention for the past 20 plus years"", 'Qatar is anything but [neutral]']",2,"['logical_structure', 'critical_analysis']",2,basic_opinion,3
"Learn, Arabs. Make peace with Israel, and you will prosper. If you don't, and you harbour its enemies, there will be consequences.",2025-09-14 19:53:33.068000+00:00,8,8,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>, <VideoTopic.DIPLOMATIC_RELATIONS: 'Diplomatic relations'>]","['Arab-Israeli normalization', 'Deterrence/punishment', 'Collective generalization about Arabs']",9.0,,3.0,2.0,0.78,"['Make peace with Israel, and you will prosper.', ""If you don't, and you harbour its enemies, there will be consequences."", 'Learn, Arabs.']",2,"['proper_grammar', 'logical_structure']",2,basic_opinion,4
"Country I like - they have a historical, military, political and moral right to do that.
Country I don’t like - this is a flagrant violation of international law!",2025-09-14 19:53:35.135000+00:00,89,14,[<VideoTopic.ISRAELI_STRIKE: 'Israeli strike'>],"['double standards', 'international law', 'moral relativism']",,,,,0.28,"['Country I like - they have a historical, military, political and moral right to do that.', 'Country I don’t like - this is a flagrant violation of international law!']",3,"['proper_grammar', 'logical_structure', 'critical_analysis']",3,systemic_critique,3
"This is the worst analysis I have ever seen from Caspian Report. Not even one word on the fact that since 1996 Qatar is playing a dual game with harboring terrorists, financing terror, funding propaganda war against Israel via Al Jazira network, western universities, western politicians, western media companies, internet pundits and podcasters - in short, everything they can lay their dirty fingers into. With 120 billion US$ a year in revenue and just 300,000 citizens they can buy everything they want. They could have pressured HamaS to release the hostages on Day 1, but of course refuse to. Disgusting.",2025-09-14 19:53:35.135000+00:00,9,5,"[<VideoTopic.ISRAEL: 'Israel'>, <VideoTopic.QATAR: 'Qatar'>, <VideoTopic.HAMAS: 'Hamas'>, <VideoTopic.QATAR_MEDIATION: 'Qatar mediation'>, <VideoTopic.GAZA_CONFLICT: 'Gaza conflict'>]","['terror financing', 'propaganda/information warfare', 'hostage leverage']",7.0,,1.0,1.0,0.87,"['harboring terrorists, financing terror', 'funding propaganda war against Israel via Al Jazira network', 'They could have pressured HamaS to release the hostages on Day 1, but of course refuse to.', 'everything they can lay their dirty fingers into', 'Disgusting.']",2,"['proper_grammar', 'logical_structure', 'domain_knowledge']",2,counter_argument,5
